Timestamp;Measured energy production (MWh);Installed power (MW);Hours of storage
2021-05-08 22;116.29;249.5;37.5
2021-05-08 23;93.69;249.5;37.5
2021-05-09 00;51.17;249.5;37.5
2021-05-09 01;30.81;249.5;37.5
2021-05-09 02;30.54;249.5;37.5
2021-05-09 03;15.37;249.5;37.5
2021-05-09 04;0;249.5;37.5
2021-05-09 05;0;249.5;37.5
2021-05-09 06;0;249.5;37.5
2021-05-09 07;9.35;249.5;37.5
2021-05-09 08;104.96;249.5;37.5
2021-05-09 09;112.73;249.5;37.5
2021-05-09 10;76.31;249.5;37.5
2021-05-09 11;60.68;249.5;37.5
2021-05-09 12;43.71;249.5;37.5
2021-05-09 13;24.73;249.5;37.5
2021-05-09 14;30.58;249.5;37.5
2021-05-09 15;22.05;249.5;37.5
2021-05-09 16;19.93;249.5;37.5
2021-05-09 17;0;249.5;37.5
2021-05-09 18;0;249.5;37.5
2021-05-09 19;0;249.5;37.5
2021-05-09 20;0;249.5;37.5
2021-05-09 21;0;249.5;37.5
2021-05-09 22;0;249.5;37.5
2021-05-09 23;0;249.5;37.5
2021-05-10 00;0;249.5;37.5
2021-05-10 01;0;249.5;37.5
2021-05-10 02;0;249.5;37.5
2021-05-10 03;0;249.5;37.5
2021-05-10 04;0;249.5;37.5
2021-05-10 05;0;249.5;37.5
2021-05-10 06;0;249.5;37.5
2021-05-10 07;28.84;249.5;37.5
2021-05-10 08;106.17;249.5;37.5
2021-05-10 09;161.18;249.5;37.5
2021-05-10 10;141.13;249.5;37.5
2021-05-10 11;142.84;249.5;37.5
2021-05-10 12;118.4;249.5;37.5
2021-05-10 13;140.03;249.5;37.5
2021-05-10 14;127.9;249.5;37.5
2021-05-10 15;130.15;249.5;37.5
2021-05-10 16;156.63;249.5;37.5
2021-05-10 17;163.68;249.5;37.5
2021-05-10 18;136.81;249.5;37.5
2021-05-10 19;103.42;249.5;37.5
2021-05-10 20;89.9;249.5;37.5
2021-05-10 21;89.6;249.5;37.5
2021-05-10 22;89.82;249.5;37.5
2021-05-10 23;89.84;249.5;37.5
2021-05-11 00;90.17;249.5;37.5
2021-05-11 01;90.57;249.5;37.5
2021-05-11 02;72.87;249.5;37.5
2021-05-11 03;59.6;249.5;37.5
2021-05-11 04;37.42;249.5;37.5
2021-05-11 05;24.28;249.5;37.5
2021-05-11 06;18.43;249.5;37.5
2021-05-11 07;110.42;249.5;37.5
2021-05-11 08;165.57;249.5;37.5
2021-05-11 09;168.51;249.5;37.5
2021-05-11 10;170.63;249.5;37.5
2021-05-11 11;168.34;249.5;37.5
2021-05-11 12;169.44;249.5;37.5
2021-05-11 13;171.52;249.5;37.5
2021-05-11 14;169.23;249.5;37.5
2021-05-11 15;181.15;249.5;37.5
2021-05-11 16;183.02;249.5;37.5
2021-05-11 17;186.16;249.5;37.5
2021-05-11 18;181.87;249.5;37.5
2021-05-11 19;161.34;249.5;37.5
2021-05-11 20;148.42;249.5;37.5
2021-05-11 21;139.12;249.5;37.5
2021-05-11 22;139.8;249.5;37.5
2021-05-11 23;140.03;249.5;37.5
2021-05-12 00;141.71;249.5;37.5
2021-05-12 01;141.99;249.5;37.5
2021-05-12 02;139.32;249.5;37.5
2021-05-12 03;112.69;249.5;37.5
2021-05-12 04;72.13;249.5;37.5
2021-05-12 05;24.2;249.5;37.5
2021-05-12 06;19.91;249.5;37.5
2021-05-12 07;116.51;249.5;37.5
2021-05-12 08;138.26;249.5;37.5
2021-05-12 09;138.14;249.5;37.5
2021-05-12 10;138.22;249.5;37.5
2021-05-12 11;161.51;249.5;37.5
2021-05-12 12;189.37;249.5;37.5
2021-05-12 13;207.88;249.5;37.5
2021-05-12 14;224.59;249.5;37.5
2021-05-12 15;209.54;249.5;37.5
2021-05-12 16;199.29;249.5;37.5
2021-05-12 17;170.84;249.5;37.5
2021-05-12 18;169.44;249.5;37.5
2021-05-12 19;170.47;249.5;37.5
2021-05-12 20;168.64;249.5;37.5
2021-05-12 21;148.55;249.5;37.5
2021-05-12 22;106.91;249.5;37.5
2021-05-12 23;107.65;249.5;37.5
2021-05-13 00;107.77;249.5;37.5
2021-05-13 01;108.3;249.5;37.5
2021-05-13 02;108.46;249.5;37.5
2021-05-13 03;108.5;249.5;37.5
2021-05-13 04;60.44;249.5;37.5
2021-05-13 05;28.47;249.5;37.5
2021-05-13 06;24.97;249.5;37.5
2021-05-13 07;132.92;249.5;37.5
2021-05-13 08;215.46;249.5;37.5
2021-05-13 09;229.42;249.5;37.5
2021-05-13 10;229.54;249.5;37.5
2021-05-13 11;228.1;249.5;37.5
2021-05-13 12;222.28;249.5;37.5
2021-05-13 13;207.81;249.5;37.5
2021-05-13 14;182.97;249.5;37.5
2021-05-13 15;174.27;249.5;37.5
2021-05-13 16;169.77;249.5;37.5
2021-05-13 17;197.51;249.5;37.5
2021-05-13 18;190.41;249.5;37.5
2021-05-13 19;177.66;249.5;37.5
2021-05-13 20;170.95;249.5;37.5
2021-05-13 21;168.84;249.5;37.5
2021-05-13 22;117.27;249.5;37.5
2021-05-13 23;104.97;249.5;37.5
2021-05-14 00;105.56;249.5;37.5
2021-05-14 01;105.54;249.5;37.5
2021-05-14 02;105.38;249.5;37.5
2021-05-14 03;105.16;249.5;37.5
2021-05-14 04;61.84;249.5;37.5
2021-05-14 05;26.93;249.5;37.5
2021-05-14 06;21.32;249.5;37.5
2021-05-14 07;120.76;249.5;37.5
2021-05-14 08;210.09;249.5;37.5
2021-05-14 09;227.13;249.5;37.5
2021-05-14 10;228.33;249.5;37.5
2021-05-14 11;225.39;249.5;37.5
2021-05-14 12;227.33;249.5;37.5
2021-05-14 13;228.83;249.5;37.5
2021-05-14 14;228.96;249.5;37.5
2021-05-14 15;226.38;249.5;37.5
2021-05-14 16;214.28;249.5;37.5
2021-05-14 17;180.45;249.5;37.5
2021-05-14 18;182.87;249.5;37.5
2021-05-14 19;182.21;249.5;37.5
2021-05-14 20;179.71;249.5;37.5
2021-05-14 21;178.61;249.5;37.5
2021-05-14 22;178.66;249.5;37.5
2021-05-14 23;177.9;249.5;37.5
2021-05-15 00;178.2;249.5;37.5
2021-05-15 01;177.97;249.5;37.5
2021-05-15 02;173.07;249.5;37.5
2021-05-15 03;119.53;249.5;37.5
2021-05-15 04;68.12;249.5;37.5
2021-05-15 05;26.39;249.5;37.5
2021-05-15 06;17.3;249.5;37.5
2021-05-15 07;148.7;249.5;37.5
2021-05-15 08;222.15;249.5;37.5
2021-05-15 09;228.54;249.5;37.5
2021-05-15 10;215.6;249.5;37.5
2021-05-15 11;211.93;249.5;37.5
2021-05-15 12;204.45;249.5;37.5
2021-05-15 13;195.11;249.5;37.5
2021-05-15 14;149.54;249.5;37.5
2021-05-15 15;161.54;249.5;37.5
2021-05-15 16;146.33;249.5;37.5
2021-05-15 17;154.57;249.5;37.5
2021-05-15 18;145.93;249.5;37.5
2021-05-15 19;129.83;249.5;37.5
2021-05-15 20;129.43;249.5;37.5
2021-05-15 21;129.15;249.5;37.5
2021-05-15 22;168.23;249.5;37.5
2021-05-15 23;168.13;249.5;37.5
2021-05-16 00;146.94;249.5;37.5
2021-05-16 01;140.56;249.5;37.5
2021-05-16 02;141.22;249.5;37.5
2021-05-16 03;141.17;249.5;37.5
2021-05-16 04;112.5;249.5;37.5
2021-05-16 05;59.07;249.5;37.5
2021-05-16 06;62.63;249.5;37.5
2021-05-16 07;182.38;249.5;37.5
2021-05-16 08;215.99;249.5;37.5
2021-05-16 09;215.04;249.5;37.5
2021-05-16 10;214.01;249.5;37.5
2021-05-16 11;212.57;249.5;37.5
2021-05-16 12;211.84;249.5;37.5
2021-05-16 13;209.4;249.5;37.5
2021-05-16 14;205.78;249.5;37.5
2021-05-16 15;205.36;249.5;37.5
2021-05-16 16;214.71;249.5;37.5
2021-05-16 17;195.16;249.5;37.5
2021-05-16 18;161.21;249.5;37.5
2021-05-16 19;165.59;249.5;37.5
2021-05-16 20;166.79;249.5;37.5
2021-05-16 21;166.23;249.5;37.5
2021-05-16 22;165.07;249.5;37.5
2021-05-16 23;165.03;249.5;37.5
2021-05-17 00;164.12;249.5;37.5
2021-05-17 01;157.07;249.5;37.5
2021-05-17 02;133.41;249.5;37.5
2021-05-17 03;130.67;249.5;37.5
2021-05-17 04;83.98;249.5;37.5
2021-05-17 05;56.18;249.5;37.5
2021-05-17 06;58.19;249.5;37.5
2021-05-17 07;154.88;249.5;37.5
2021-05-17 08;171.24;249.5;37.5
2021-05-17 09;174.82;249.5;37.5
2021-05-17 10;129.78;249.5;37.5
2021-05-17 11;129.07;249.5;37.5
2021-05-17 12;126.35;249.5;37.5
2021-05-17 13;125.13;249.5;37.5
2021-05-17 14;109.62;249.5;37.5
2021-05-17 15;79.9;249.5;37.5
2021-05-17 16;118.17;249.5;37.5
2021-05-17 17;124.03;249.5;37.5
2021-05-17 18;143.04;249.5;37.5
2021-05-17 19;130.79;249.5;37.5
2021-05-17 20;133.22;249.5;37.5
2021-05-17 21;131.78;249.5;37.5
2021-05-17 22;132.8;249.5;37.5
2021-05-17 23;134.64;249.5;37.5
2021-05-18 00;134.21;249.5;37.5
2021-05-18 01;135.3;249.5;37.5
2021-05-18 02;134.42;249.5;37.5
2021-05-18 03;133.04;249.5;37.5
2021-05-18 04;90.01;249.5;37.5
2021-05-18 05;62.6;249.5;37.5
2021-05-18 06;65.32;249.5;37.5
2021-05-18 07;159.77;249.5;37.5
2021-05-18 08;173.63;249.5;37.5
2021-05-18 09;166.92;249.5;37.5
2021-05-18 10;172.26;249.5;37.5
2021-05-18 11;162.4;249.5;37.5
2021-05-18 12;169.73;249.5;37.5
2021-05-18 13;178.95;249.5;37.5
2021-05-18 14;188.11;249.5;37.5
2021-05-18 15;188;249.5;37.5
2021-05-18 16;184.3;249.5;37.5
2021-05-18 17;170.15;249.5;37.5
2021-05-18 18;173.81;249.5;37.5
2021-05-18 19;150.45;249.5;37.5
2021-05-18 20;147.91;249.5;37.5
2021-05-18 21;148.84;249.5;37.5
2021-05-18 22;148.97;249.5;37.5
2021-05-18 23;148.96;249.5;37.5
2021-05-19 00;149.51;249.5;37.5
2021-05-19 01;149.28;249.5;37.5
2021-05-19 02;132.19;249.5;37.5
2021-05-19 03;111.9;249.5;37.5
2021-05-19 04;83.32;249.5;37.5
2021-05-19 05;29.75;249.5;37.5
2021-05-19 06;19.89;249.5;37.5
2021-05-19 07;146.4;249.5;37.5
2021-05-19 08;202.03;249.5;37.5
2021-05-19 09;227.06;249.5;37.5
2021-05-19 10;227.11;249.5;37.5
2021-05-19 11;225.82;249.5;37.5
2021-05-19 12;203.88;249.5;37.5
2021-05-19 13;228.05;249.5;37.5
2021-05-19 14;227.8;249.5;37.5
2021-05-19 15;228.93;249.5;37.5
2021-05-19 16;226.69;249.5;37.5
2021-05-19 17;220.5;249.5;37.5
2021-05-19 18;192.65;249.5;37.5
2021-05-19 19;183.36;249.5;37.5
2021-05-19 20;182.76;249.5;37.5
2021-05-19 21;180.38;249.5;37.5
2021-05-19 22;180.27;249.5;37.5
2021-05-19 23;179.59;249.5;37.5
2021-05-20 00;180.13;249.5;37.5
2021-05-20 01;178.58;249.5;37.5
2021-05-20 02;174.25;249.5;37.5
2021-05-20 03;135.2;249.5;37.5
2021-05-20 04;51.98;249.5;37.5
2021-05-20 05;29.27;249.5;37.5
2021-05-20 06;27.95;249.5;37.5
2021-05-20 07;59.64;249.5;37.5
2021-05-20 08;157.4;249.5;37.5
2021-05-20 09;223.51;249.5;37.5
2021-05-20 10;227.25;249.5;37.5
2021-05-20 11;223.32;249.5;37.5
2021-05-20 12;223.99;249.5;37.5
2021-05-20 13;221.94;249.5;37.5
2021-05-20 14;216.96;249.5;37.5
2021-05-20 15;209.39;249.5;37.5
2021-05-20 16;202.83;249.5;37.5
2021-05-20 17;190.65;249.5;37.5
2021-05-20 18;158.53;249.5;37.5
2021-05-20 19;165.59;249.5;37.5
2021-05-20 20;165.81;249.5;37.5
2021-05-20 21;165.61;249.5;37.5
2021-05-20 22;165.46;249.5;37.5
2021-05-20 23;165.4;249.5;37.5
2021-05-21 00;164.18;249.5;37.5
2021-05-21 01;145.89;249.5;37.5
2021-05-21 02;98.78;249.5;37.5
2021-05-21 03;65.59;249.5;37.5
2021-05-21 04;30.05;249.5;37.5
2021-05-21 05;17.09;249.5;37.5
2021-05-21 06;0.36;249.5;37.5
2021-05-21 07;115.98;249.5;37.5
2021-05-21 08;211.44;249.5;37.5
2021-05-21 09;211.43;249.5;37.5
2021-05-21 10;213.4;249.5;37.5
2021-05-21 11;195.42;249.5;37.5
2021-05-21 12;192.3;249.5;37.5
2021-05-21 13;195.97;249.5;37.5
2021-05-21 14;221.1;249.5;37.5
2021-05-21 15;187.47;249.5;37.5
2021-05-21 16;168.64;249.5;37.5
2021-05-21 17;187.95;249.5;37.5
2021-05-21 18;182.91;249.5;37.5
2021-05-21 19;155.56;249.5;37.5
2021-05-21 20;152.68;249.5;37.5
2021-05-21 21;133.27;249.5;37.5
2021-05-21 22;123.76;249.5;37.5
2021-05-21 23;99.96;249.5;37.5
2021-05-22 00;44.74;249.5;37.5
2021-05-22 01;27.83;249.5;37.5
2021-05-22 02;27.62;249.5;37.5
2021-05-22 03;27.2;249.5;37.5
2021-05-22 04;13.79;249.5;37.5
2021-05-22 05;0;249.5;37.5
2021-05-22 06;0.29;249.5;37.5
2021-05-22 07;56.59;249.5;37.5
2021-05-22 08;143.33;249.5;37.5
2021-05-22 09;162.56;249.5;37.5
2021-05-22 10;165.81;249.5;37.5
2021-05-22 11;163.54;249.5;37.5
2021-05-22 12;166.72;249.5;37.5
2021-05-22 13;163.85;249.5;37.5
2021-05-22 14;143.13;249.5;37.5
2021-05-22 15;86.46;249.5;37.5
2021-05-22 16;71.21;249.5;37.5
2021-05-22 17;116.32;249.5;37.5
2021-05-22 18;120.79;249.5;37.5
2021-05-22 19;109.09;249.5;37.5
2021-05-22 20;72.18;249.5;37.5
2021-05-22 21;28.63;249.5;37.5
2021-05-22 22;7.13;249.5;37.5
2021-05-22 23;0;249.5;37.5
2021-05-23 00;0;249.5;37.5
2021-05-23 01;0;249.5;37.5
2021-05-23 02;0;249.5;37.5
2021-05-23 03;0;249.5;37.5
2021-05-23 04;0;249.5;37.5
2021-05-23 05;0;249.5;37.5
2021-05-23 06;0;249.5;37.5
2021-05-23 07;0;249.5;37.5
2021-05-23 08;0;249.5;37.5
2021-05-23 09;0;249.5;37.5
2021-05-23 10;0;249.5;37.5
2021-05-23 11;0;249.5;37.5
2021-05-23 12;0;249.5;37.5
2021-05-23 13;0;249.5;37.5
2021-05-23 14;0;249.5;37.5
2021-05-23 15;0;249.5;37.5
2021-05-23 16;0;249.5;37.5
2021-05-23 17;0;249.5;37.5
2021-05-23 18;0;249.5;37.5
2021-05-23 19;0;249.5;37.5
2021-05-23 20;0;249.5;37.5
2021-05-23 21;0;249.5;37.5
2021-05-23 22;0;249.5;37.5
2021-05-23 23;0;249.5;37.5
2021-05-24 00;0;249.5;37.5
2021-05-24 01;0;249.5;37.5
2021-05-24 02;0;249.5;37.5
2021-05-24 03;0;249.5;37.5
2021-05-24 04;0;249.5;37.5
2021-05-24 05;0;249.5;37.5
2021-05-24 06;0;249.5;37.5
2021-05-24 07;0;249.5;37.5
2021-05-24 08;52.02;249.5;37.5
2021-05-24 09;143.01;249.5;37.5
2021-05-24 10;178.34;249.5;37.5
2021-05-24 11;179.6;249.5;37.5
2021-05-24 12;178.94;249.5;37.5
2021-05-24 13;180.59;249.5;37.5
2021-05-24 14;181.8;249.5;37.5
2021-05-24 15;181.49;249.5;37.5
2021-05-24 16;174.33;249.5;37.5
2021-05-24 17;178.02;249.5;37.5
2021-05-24 18;160.29;249.5;37.5
2021-05-24 19;132.01;249.5;37.5
2021-05-24 20;134.83;249.5;37.5
2021-05-24 21;135.64;249.5;37.5
2021-05-24 22;136.03;249.5;37.5
2021-05-24 23;136.08;249.5;37.5
2021-05-25 00;135.52;249.5;37.5
2021-05-25 01;137.39;249.5;37.5
2021-05-25 02;152.49;249.5;37.5
2021-05-25 03;151.9;249.5;37.5
2021-05-25 04;69.91;249.5;37.5
2021-05-25 05;23.72;249.5;37.5
2021-05-25 06;17.78;249.5;37.5
2021-05-25 07;66.56;249.5;37.5
2021-05-25 08;109.56;249.5;37.5
2021-05-25 09;209.4;249.5;37.5
2021-05-25 10;228.51;249.5;37.5
2021-05-25 11;225.78;249.5;37.5
2021-05-25 12;224.67;249.5;37.5
2021-05-25 13;228.68;249.5;37.5
2021-05-25 14;225.82;249.5;37.5
2021-05-25 15;213.85;249.5;37.5
2021-05-25 16;204.66;249.5;37.5
2021-05-25 17;210.09;249.5;37.5
2021-05-25 18;182.97;249.5;37.5
2021-05-25 19;164.88;249.5;37.5
2021-05-25 20;167.93;249.5;37.5
2021-05-25 21;168.26;249.5;37.5
2021-05-25 22;168.73;249.5;37.5
2021-05-25 23;169.26;249.5;37.5
2021-05-26 00;170.35;249.5;37.5
2021-05-26 01;169.58;249.5;37.5
2021-05-26 02;110.56;249.5;37.5
2021-05-26 03;85.31;249.5;37.5
2021-05-26 04;31.71;249.5;37.5
2021-05-26 05;26.43;249.5;37.5
2021-05-26 06;11.32;249.5;37.5
2021-05-26 07;20.79;249.5;37.5
2021-05-26 08;111.02;249.5;37.5
2021-05-26 09;145.18;249.5;37.5
2021-05-26 10;214.98;249.5;37.5
2021-05-26 11;228.79;249.5;37.5
2021-05-26 12;228.04;249.5;37.5
2021-05-26 13;227.57;249.5;37.5
2021-05-26 14;226.21;249.5;37.5
2021-05-26 15;221.28;249.5;37.5
2021-05-26 16;152.37;249.5;37.5
2021-05-26 17;119.6;249.5;37.5
2021-05-26 18;149.78;249.5;37.5
2021-05-26 19;158.25;249.5;37.5
2021-05-26 20;157.5;249.5;37.5
2021-05-26 21;156.88;249.5;37.5
2021-05-26 22;129.84;249.5;37.5
2021-05-26 23;41.78;249.5;37.5
2021-05-27 00;28.57;249.5;37.5
2021-05-27 01;28.35;249.5;37.5
2021-05-27 02;28.34;249.5;37.5
2021-05-27 03;0;249.5;37.5
2021-05-27 04;0;249.5;37.5
2021-05-27 05;0;249.5;37.5
2021-05-27 06;0;249.5;37.5
2021-05-27 07;0;249.5;37.5
2021-05-27 08;0;249.5;37.5
2021-05-27 09;0;249.5;37.5
2021-05-27 10;0;249.5;37.5
2021-05-27 11;0;249.5;37.5
2021-05-27 12;6.21;249.5;37.5
2021-05-27 13;35.69;249.5;37.5
2021-05-27 14;12.04;249.5;37.5
2021-05-27 15;15.84;249.5;37.5
2021-05-27 16;0;249.5;37.5
2021-05-27 17;0;249.5;37.5
2021-05-27 18;0;249.5;37.5
2021-05-27 19;0;249.5;37.5
2021-05-27 20;0;249.5;37.5
2021-05-27 21;0;249.5;37.5
2021-05-27 22;0;249.5;37.5
2021-05-27 23;0;249.5;37.5
2021-05-28 00;0;249.5;37.5
2021-05-28 01;0;249.5;37.5
2021-05-28 02;0;249.5;37.5
2021-05-28 03;0;249.5;37.5
2021-05-28 04;0;249.5;37.5
2021-05-28 05;0;249.5;37.5
2021-05-28 06;0;249.5;37.5
2021-05-28 07;0;249.5;37.5
2021-05-28 08;8.04;249.5;37.5
2021-05-28 09;70.14;249.5;37.5
2021-05-28 10;139.37;249.5;37.5
2021-05-28 11;77.85;249.5;37.5
2021-05-28 12;96.94;249.5;37.5
2021-05-28 13;117.67;249.5;37.5
2021-05-28 14;184.49;249.5;37.5
2021-05-28 15;171.15;249.5;37.5
2021-05-28 16;140.95;249.5;37.5
2021-05-28 17;127.37;249.5;37.5
2021-05-28 18;116.22;249.5;37.5
2021-05-28 19;75.86;249.5;37.5
2021-05-28 20;64.08;249.5;37.5
2021-05-28 21;64.5;249.5;37.5
2021-05-28 22;65.35;249.5;37.5
2021-05-28 23;64.79;249.5;37.5
2021-05-29 00;63.19;249.5;37.5
2021-05-29 01;38.72;249.5;37.5
2021-05-29 02;5.92;249.5;37.5
2021-05-29 03;0;249.5;37.5
2021-05-29 04;0;249.5;37.5
2021-05-29 05;0;249.5;37.5
2021-05-29 06;0;249.5;37.5
2021-05-29 07;65.78;249.5;37.5
2021-05-29 08;181.81;249.5;37.5
2021-05-29 09;188.75;249.5;37.5
2021-05-29 10;213.61;249.5;37.5
2021-05-29 11;214.02;249.5;37.5
2021-05-29 12;222.43;249.5;37.5
2021-05-29 13;222.32;249.5;37.5
2021-05-29 14;215.25;249.5;37.5
2021-05-29 15;222.48;249.5;37.5
2021-05-29 16;206.95;249.5;37.5
2021-05-29 17;216.14;249.5;37.5
2021-05-29 18;195.15;249.5;37.5
2021-05-29 19;164.54;249.5;37.5
2021-05-29 20;166.12;249.5;37.5
2021-05-29 21;165.41;249.5;37.5
2021-05-29 22;166.5;249.5;37.5
2021-05-29 23;166.47;249.5;37.5
2021-05-30 00;167.7;249.5;37.5
2021-05-30 01;140.24;249.5;37.5
2021-05-30 02;106.38;249.5;37.5
2021-05-30 03;97.66;249.5;37.5
2021-05-30 04;29.43;249.5;37.5
2021-05-30 05;0;249.5;37.5
2021-05-30 06;0;249.5;37.5
2021-05-30 07;3.02;249.5;37.5
2021-05-30 08;67.67;249.5;37.5
2021-05-30 09;130.07;249.5;37.5
2021-05-30 10;140.34;249.5;37.5
2021-05-30 11;109.15;249.5;37.5
2021-05-30 12;88.65;249.5;37.5
2021-05-30 13;56.34;249.5;37.5
2021-05-30 14;46.31;249.5;37.5
2021-05-30 15;60.95;249.5;37.5
2021-05-30 16;45.48;249.5;37.5
2021-05-30 17;59.65;249.5;37.5
2021-05-30 18;60.56;249.5;37.5
2021-05-30 19;62.44;249.5;37.5
2021-05-30 20;24;249.5;37.5
2021-05-30 21;0;249.5;37.5
2021-05-30 22;0;249.5;37.5
2021-05-30 23;0;249.5;37.5
2021-05-31 00;0;249.5;37.5
2021-05-31 01;0;249.5;37.5
2021-05-31 02;0;249.5;37.5
2021-05-31 03;0;249.5;37.5
2021-05-31 04;0;249.5;37.5
2021-05-31 05;0;249.5;37.5
2021-05-31 06;0;249.5;37.5
2021-05-31 07;0.2;249.5;37.5
2021-05-31 08;9.4;249.5;37.5
2021-05-31 09;14.92;249.5;37.5
2021-05-31 10;0;249.5;37.5
2021-05-31 11;4.16;249.5;37.5
2021-05-31 12;15.78;249.5;37.5
2021-05-31 13;7.06;249.5;37.5
2021-05-31 14;4.03;249.5;37.5
2021-05-31 15;10.61;249.5;37.5
2021-05-31 16;12.19;249.5;37.5
2021-05-31 17;65.38;249.5;37.5
2021-05-31 18;102.46;249.5;37.5
2021-05-31 19;4.81;249.5;37.5
2021-05-31 20;0;249.5;37.5
2021-05-31 21;0;249.5;37.5
2021-05-31 22;0;249.5;37.5
2021-05-31 23;0;249.5;37.5
2021-06-01 00;0;249.5;37.5
2021-06-01 01;0;249.5;37.5
2021-06-01 02;0;249.5;37.5
2021-06-01 03;0;249.5;37.5
2021-06-01 04;0;249.5;37.5
2021-06-01 05;0;249.5;37.5
2021-06-01 06;0;249.5;37.5
2021-06-01 07;11.46;249.5;37.5
2021-06-01 08;10.91;249.5;37.5
2021-06-01 09;10.75;249.5;37.5
2021-06-01 10;68.4;249.5;37.5
2021-06-01 11;167.43;249.5;37.5
2021-06-01 12;194.52;249.5;37.5
2021-06-01 13;203.68;249.5;37.5
2021-06-01 14;195.8;249.5;37.5
2021-06-01 15;186.37;249.5;37.5
2021-06-01 16;200.65;249.5;37.5
2021-06-01 17;199.03;249.5;37.5
2021-06-01 18;187.63;249.5;37.5
2021-06-01 19;154.13;249.5;37.5
2021-06-01 20;154.53;249.5;37.5
2021-06-01 21;153.32;249.5;37.5
2021-06-01 22;153.01;249.5;37.5
2021-06-01 23;152.75;249.5;37.5
2021-06-02 00;126.34;249.5;37.5
2021-06-02 01;97.63;249.5;37.5
2021-06-02 02;65.21;249.5;37.5
2021-06-02 03;42.22;249.5;37.5
2021-06-02 04;30.64;249.5;37.5
2021-06-02 05;24.51;249.5;37.5
2021-06-02 06;20.7;249.5;37.5
2021-06-02 07;169;249.5;37.5
2021-06-02 08;230.07;249.5;37.5
2021-06-02 09;227.57;249.5;37.5
2021-06-02 10;200.68;249.5;37.5
2021-06-02 11;167.18;249.5;37.5
2021-06-02 12;165.43;249.5;37.5
2021-06-02 13;170.55;249.5;37.5
2021-06-02 14;177.15;249.5;37.5
2021-06-02 15;141.77;249.5;37.5
2021-06-02 16;153.92;249.5;37.5
2021-06-02 17;134.54;249.5;37.5
2021-06-02 18;150.49;249.5;37.5
2021-06-02 19;171.68;249.5;37.5
2021-06-02 20;171.34;249.5;37.5
2021-06-02 21;170.74;249.5;37.5
2021-06-02 22;171.21;249.5;37.5
2021-06-02 23;172.15;249.5;37.5
2021-06-03 00;172.18;249.5;37.5
2021-06-03 01;172.52;249.5;37.5
2021-06-03 02;172.46;249.5;37.5
2021-06-03 03;168.05;249.5;37.5
2021-06-03 04;64.64;249.5;37.5
2021-06-03 05;25.03;249.5;37.5
2021-06-03 06;21.78;249.5;37.5
2021-06-03 07;144.93;249.5;37.5
2021-06-03 08;166.76;249.5;37.5
2021-06-03 09;177.79;249.5;37.5
2021-06-03 10;164.38;249.5;37.5
2021-06-03 11;161.05;249.5;37.5
2021-06-03 12;150.85;249.5;37.5
2021-06-03 13;163.9;249.5;37.5
2021-06-03 14;136.36;249.5;37.5
2021-06-03 15;109.73;249.5;37.5
2021-06-03 16;89.22;249.5;37.5
2021-06-03 17;89.56;249.5;37.5
2021-06-03 18;117.84;249.5;37.5
2021-06-03 19;142.62;249.5;37.5
2021-06-03 20;155.06;249.5;37.5
2021-06-03 21;156.97;249.5;37.5
2021-06-03 22;155.48;249.5;37.5
2021-06-03 23;103.52;249.5;37.5
2021-06-04 00;98.04;249.5;37.5
2021-06-04 01;81.26;249.5;37.5
2021-06-04 02;7.84;249.5;37.5
2021-06-04 03;0;249.5;37.5
2021-06-04 04;0;249.5;37.5
2021-06-04 05;0;249.5;37.5
2021-06-04 06;0;249.5;37.5
2021-06-04 07;0;249.5;37.5
2021-06-04 08;6.38;249.5;37.5
2021-06-04 09;71.26;249.5;37.5
2021-06-04 10;46.46;249.5;37.5
2021-06-04 11;31.82;249.5;37.5
2021-06-04 12;48.87;249.5;37.5
2021-06-04 13;50.04;249.5;37.5
2021-06-04 14;85.44;249.5;37.5
2021-06-04 15;126.3;249.5;37.5
2021-06-04 16;162.84;249.5;37.5
2021-06-04 17;153.81;249.5;37.5
2021-06-04 18;103.13;249.5;37.5
2021-06-04 19;88.93;249.5;37.5
2021-06-04 20;90.46;249.5;37.5
2021-06-04 21;77.17;249.5;37.5
2021-06-04 22;62.63;249.5;37.5
2021-06-04 23;60.92;249.5;37.5
2021-06-05 00;13.25;249.5;37.5
2021-06-05 01;0;249.5;37.5
2021-06-05 02;0;249.5;37.5
2021-06-05 03;0;249.5;37.5
2021-06-05 04;0;249.5;37.5
2021-06-05 05;0;249.5;37.5
2021-06-05 06;0;249.5;37.5
2021-06-05 07;0;249.5;37.5
2021-06-05 08;0;249.5;37.5
2021-06-05 09;0;249.5;37.5
2021-06-05 10;0;249.5;37.5
2021-06-05 11;0;249.5;37.5
2021-06-05 12;0;249.5;37.5
2021-06-05 13;0;249.5;37.5
2021-06-05 14;0;249.5;37.5
2021-06-05 15;13.66;249.5;37.5
2021-06-05 16;55.01;249.5;37.5
2021-06-05 17;44.87;249.5;37.5
2021-06-05 18;63.32;249.5;37.5
2021-06-05 19;15.61;249.5;37.5
2021-06-05 20;0;249.5;37.5
2021-06-05 21;0;249.5;37.5
2021-06-05 22;0;249.5;37.5
2021-06-05 23;0;249.5;37.5
2021-06-06 00;0;249.5;37.5
2021-06-06 01;0;249.5;37.5
2021-06-06 02;0;249.5;37.5
